lever,ic_level,value,expected_harm,mean_intervention
PC,0.15,0.0,0.10457272456029655,0.4186550339548035
SC,0.15,0.0,0.07854059060280182,0.31442516197949205
PC,0.15,0.05,0.10139807407767523,0.40594407395781434
SC,0.15,0.05,0.07796915351592998,0.31213718918003397
PC,0.15,0.1,0.09822342359505394,0.39323311396082516
SC,0.15,0.1,0.07739771642905814,0.3098492163805759
PC,0.15,0.15000000000000002,0.09504877311243261,0.3805221539638359
SC,0.15,0.15000000000000002,0.07682627934218632,0.3075612435811178
PC,0.15,0.2,0.09187412262981132,0.3678111939668467
SC,0.15,0.2,0.07625484225531448,0.3052732707816598
PC,0.15,0.25,0.08869947214718998,0.3551002339698575
SC,0.15,0.25,0.07568340516844264,0.30298529798220175
PC,0.15,0.30000000000000004,0.08552482166456869,0.3423892739728682
SC,0.15,0.30000000000000004,0.07511196808157079,0.30069732518274367
PC,0.15,0.35000000000000003,0.08235017118194737,0.32967831397587904
SC,0.15,0.35000000000000003,0.07454053099469897,0.2984093523832856
PC,0.15,0.4,0.07917552069932607,0.3169673539788898
SC,0.15,0.4,0.07396909390782712,0.2961213795838275
PC,0.15,0.45,0.07600087021670478,0.30425639398190063
SC,0.15,0.45,0.0733976568209553,0.2938334067843695
PC,0.15,0.5,0.07282621973408346,0.29154543398491145
SC,0.15,0.5,0.07282621973408346,0.29154543398491145
PC,0.15,0.55,0.06965156925146214,0.27883447398792216
SC,0.15,0.55,0.07225478264721161,0.28925746118545337
PC,0.15,0.6000000000000001,0.06647691876884082,0.266123513990933
SC,0.15,0.6000000000000001,0.07168334556033977,0.2869694883859953
PC,0.15,0.65,0.06330226828621953,0.25341255399394375
SC,0.15,0.65,0.07111190847346796,0.28468151558653726
PC,0.15,0.7000000000000001,0.06012761780359822,0.24070159399695454
SC,0.15,0.7000000000000001,0.07054047138659611,0.2823935427870792
PC,0.15,0.75,0.056952967320976905,0.22799063399996533
SC,0.15,0.75,0.06996903429972429,0.28010556998762115
PC,0.15,0.8,0.053778316838355586,0.2152796740029761
SC,0.15,0.8,0.06939759721285245,0.27781759718816307
PC,0.15,0.8500000000000001,0.050603666355734274,0.20256871400598692
SC,0.15,0.8500000000000001,0.0688261601259806,0.27552962438870504
PC,0.15,0.9,0.04742901587311298,0.18985775400899774
SC,0.15,0.9,0.06825472303910878,0.27324165158924696
PC,0.15,0.9500000000000001,0.044254365390491664,0.1771467940120085
SC,0.15,0.9500000000000001,0.06768328595223694,0.2709536787897889
PC,0.15,1.0,0.041079714907870366,0.1644358340150193
SC,0.15,1.0,0.0671118488653651,0.26866570599033085
PC,0.5,0.0,0.0952392521413899,0.38128481156365523
SC,0.5,0.0,0.06920711818389516,0.2770549395883437
PC,0.5,0.05,0.09206460165876859,0.36857385156666606
