variable,rank,S1,ST,oat_range,abs_dEH
repository_severity,1,0.39055428918714,0.546037657735072,0.125,0.125
phenomenological_caution,2,0.09960682772033344,0.16403811589770917,0.0625,0.0625
accessibility,3,0.09868631469042131,0.15767270775145198,0.0625,0.06249999999999653
visibility,4,0.09631467038467899,0.15220559197338526,0.0625,0.06249999999999653
economic_pressure,5,0.03323463080817463,0.06128838193335368,0.03749999999999999,0.037500000000002774
interpretive_capacity,6,0.015919127222569187,0.02892183410111725,0.026249999999999996,0.026249999999998472
curiosity,7,0.016371502425968548,0.027369036089963727,0.024999999999999994,0.024999999999997226
technical_capability,8,0.015332095604961887,0.027228519467820934,0.025,0.025000000000000695
institutional_strength,9,0.01588981447935923,0.026303534598585553,0.02500000000000001,0.024999999999997226
prestige_risk,10,0.008061997897983479,0.015270717427847288,0.01874999999999999,0.018749999999997918
artificial_intentionality,11,0.004772614375794827,0.006785515535260513,0.012500000000000011,0.012499999999998613
marker_clarity,12,0.002336484331394327,0.005326883733599026,0.011249999999999996,0.011249999999997363
ritualization_tendency,13,0.0010081135027250408,0.0017103579673649755,0.006249999999999992,0.0062499999999993065
prestige_sensitivity,14,0.0,0.0,0.0,0.0
risk_tolerance,15,0.0,0.0,0.0,0.0
resource_attractiveness,16,0.0,0.0,0.0,0.0
historical_memory,17,0.0,0.0,0.0,0.0
