variable,S1,ST
curiosity,0.016371502425968548,0.027369036089963727
risk_tolerance,0.0,0.0
technical_capability,0.015332095604961887,0.027228519467820934
interpretive_capacity,0.015919127222569187,0.02892183410111725
institutional_strength,0.01588981447935923,0.026303534598585553
prestige_sensitivity,0.0,0.0
economic_pressure,0.03323463080817463,0.06128838193335368
ritualization_tendency,0.0010081135027250408,0.0017103579673649755
visibility,0.09631467038467899,0.15220559197338526
accessibility,0.09868631469042131,0.15767270775145198
resource_attractiveness,0.0,0.0
marker_clarity,0.002336484331394327,0.005326883733599026
phenomenological_caution,0.09960682772033344,0.16403811589770917
artificial_intentionality,0.004772614375794827,0.006785515535260513
prestige_risk,0.008061997897983479,0.015270717427847288
historical_memory,0.0,0.0
repository_severity,0.39055428918714,0.546037657735072
