q,beta
3.0,0.64
3.0,0.7
3.0,0.78
3.0,0.6499999999999999
3.0,0.9166666666666666
3.0,0.6599999999999999
3.0,0.6699999999999999
3.0,0.7
3.0,0.9166666666666666
3.0,0.7
3.0,0.9083333333333333
3.0,0.72
3.0,0.65
3.0,1.0
3.0,0.6699999999999999
3.0,0.62
3.0,0.6599999999999999
3.0,0.64
3.0,0.6599999999999999
3.0,0.6599999999999999
3.0,0.69
3.0,0.78
3.0,0.64
3.0,0.69
3.0,0.8300000000000001
3.0,0.6799999999999999
3.0,0.6799999999999999
3.0,0.6599999999999999
3.0,0.75
3.0,0.65
3.0,0.6599999999999999
3.0,0.6499999999999999
3.0,0.64
3.0,0.8400000000000001
3.0,0.7
3.0,0.75
3.0,0.72
3.0,0.63
3.0,0.75
3.0,0.7
3.0,0.6599999999999999
3.0,0.6799999999999999
3.0,0.69
3.0,0.74
3.0,0.6799999999999999
3.0,0.64
3.0,0.6599999999999999
3.0,0.6699999999999999
3.0,0.71
3.0,0.6599999999999999
3.0,0.65
3.0,0.65
3.0,0.7
3.0,0.6599999999999999
3.0,0.5800000000000001
3.0,0.78
3.0,0.6799999999999999
3.0,0.8300000000000001
3.0,0.8300000000000001
3.0,0.62
3.0,0.6699999999999999
3.0,0.62
3.0,0.8200000000000001
3.0,0.61
3.0,0.72
3.0,0.6599999999999999
2.871666666666667,0.8500000000000001
3.0,0.62
3.0,0.7
3.0,0.65
3.0,0.6599999999999999
3.0,0.62
3.0,0.6599999999999999
3.0,0.6799999999999999
3.0,0.62
3.0,0.74
3.0,0.6599999999999999
3.0,0.69
3.0,0.6599999999999999
3.0,0.62
3.0,0.6699999999999999
3.0,0.79
3.0,0.6499999999999999
3.0,0.69
3.0,0.6599999999999999
3.0,0.6799999999999999
3.0,0.64
3.0,0.72
3.0,0.6
3.0,0.6
3.0,0.6799999999999999
3.0,0.72
3.0,0.6799999999999999
3.0,0.72
3.0,0.71
3.0,0.65
3.0,0.64
3.0,0.76
3.0,0.69
3.0,0.6699999999999999
3.0,0.6599999999999999
3.0,0.64
3.0,0.64
3.0,0.62
3.0,0.62
3.0,0.72
3.0,0.63
3.0,0.6799999999999999
3.0,0.9666666666666667
3.0,0.6599999999999999
3.0,0.69
3.0,0.6699999999999999
3.0,0.9766666666666667
3.0,0.8991666666666667
3.0,0.53
3.0,0.6599999999999999
3.0,0.63
3.0,0.7
3.0,1.0
3.0,0.6799999999999999
