condition,eps,mfdfa_width_mean,mfdfa_width_sem,sent_len_cv_mean,sent_len_cv_sem,surprisal_burstiness_mean,surprisal_burstiness_sem,mattr_50_mean,mattr_50_sem,self_perplexity_mean,self_perplexity_sem,rep_4gram_mean,rep_4gram_sem
baseline,0.0,0.34021955812983595,0.25885819113654923,0.3782,0.07699999999999997,-0.11195,0.007549999999999994,0.6823,0.07630000000000003,3.545,0.3999999999999999,0.04165,0.04164999999999999
logit_chaos,0.0,0.6696510650458607,0.38139880105591123,0.406,0.11729999999999997,0.0211,0.0525,0.7645500000000001,0.01545000000000002,7.759,1.6619999999999993,0.0027,0.0026999999999999997
logit_chaos,1.0,0.6636536283372385,0.3274760199926156,0.40049999999999997,0.10479999999999998,0.021249999999999998,0.028649999999999995,0.77115,0.03234999999999999,5.455,0.6079999999999997,0.01365,0.013649999999999999
logit_chaos,2.0,0.613163574169546,0.07737483661801231,0.25915,0.024150000000000005,-0.02905,0.05034999999999999,0.74325,0.023849999999999982,9.006499999999999,1.2834999999999996,0.0,0.0
logit_chaos,4.0,0.4747287177565198,0.3723730366209814,0.53025,0.10074999999999999,-0.01325,0.01155,0.73595,0.011249999999999982,10.246,1.1920000000000002,0.0,0.0
logit_matched,0.0,0.6696510650458607,0.38139880105591123,0.406,0.11729999999999997,0.0211,0.0525,0.7645500000000001,0.01545000000000002,7.759,1.6619999999999993,0.0027,0.0026999999999999997
logit_matched,1.0,0.9441054820520023,0.297365919097869,0.35585,0.22255,0.03745,0.028849999999999997,0.7564,0.022999999999999965,8.434,1.1249999999999996,0.0054,0.005399999999999999
logit_matched,2.0,0.5591495823275214,0.34327168653263085,0.43045,0.027349999999999982,0.025499999999999995,0.05569999999999999,0.76285,0.008450000000000013,7.985,2.184,0.0,0.0
logit_matched,4.0,0.5432382036165899,0.2958664856778554,0.35914999999999997,0.04605000000000001,0.02565,0.03205,0.7978000000000001,0.0005000000000000004,15.3455,1.7464999999999993,0.0033,0.0032999999999999995
logit_white,0.0,0.6696510650458607,0.38139880105591123,0.406,0.11729999999999997,0.0211,0.0525,0.7645500000000001,0.01545000000000002,7.759,1.6619999999999993,0.0027,0.0026999999999999997
logit_white,1.0,0.6862058754743887,0.37793980207591416,0.41655000000000003,0.08705000000000002,0.00615,0.01615,0.80875,0.001850000000000018,17.052,0.04100000000000037,0.0,0.0
logit_white,2.0,0.7384044230815008,0.35470406661016773,0.4507,0.00839999999999999,-0.0774,0.031700000000000006,0.84745,0.009050000000000002,71.5555,15.966500000000002,0.0,0.0
logit_white,4.0,0.6783057779462868,0.5366313577285245,0.48795,0.18004999999999996,-0.18225000000000002,0.023049999999999998,0.8797999999999999,0.0307,176.2145,21.636499999999995,0.0,0.0
prompt_only,0.0,0.38649111289570803,0.10872412364229488,0.2217,0.001699999999999993,0.0093,0.011999999999999999,0.7605999999999999,0.025400000000000034,7.97,0.4029999999999995,0.0027,0.0026999999999999997
sampling,0.0,0.6696510650458607,0.38139880105591123,0.406,0.11729999999999997,0.0211,0.0525,0.7645500000000001,0.01545000000000002,7.759,1.6619999999999993,0.0027,0.0026999999999999997
